School Name,1st,2nd,3rd,4th,5th
Adelphi University,Nursing,Biology,Business Management,Psychology,Nutrition
"American University, Washington D.C.",International Relations,Business Management,Political Science,International Relations,Economics
Amherst College,Math,Economics,English,Psychology,Political Science
Appalachian State University,Psychology,Nutrition,Nursing,Business Management,Education
Arizona State University (ASU),Business Management,Psychology,Biology,Finance,Marketing
Arkansas State University (ASU),Nursing,Business Management,Biology,Education,Nutrition
Auburn University,Biology,Mechanical Engineering,Business Management,Nutrition,Finance
Austin Peay State University,Education,Nursing,Criminal Justice,Psychology,Business Management
Ball State University (BSU),Communications,Psychology,Nursing,Business Management,Education
Bates College,Economics,Political Science,Psychology,Biology,Sociology
Baylor University,Biology,Nursing,Accounting,Marketing,Business Management 
Binghamton University,Economics,Psychology,Biology,Accounting,Nursing
Black Hills State University,Business Management,Education,Biology,Sociology,Communications
Boise State University (BSU),Business Management,Nursing,Communications,Health Care Administration,Psychology
Boston College,Economics,Finance,Psychology,Communications,Biology
Boston University,Business Management,Communications,Economics,Psychology,International Relations
Bowdoin College,Political Science,Economics,Math,Biology,Computer Science
Bowling Green State University,Education,Biology,Psychology,English,Accounting
Bradley University,Nursing,Mechanical Engineering,Accounting,Business Management,Civil Engineering
Brigham Young University (BYU),Psychology,Nutrition,Accounting,Economics,Education
Brown University,Computer Science,Economics,Biology,Math,Political Science
Bucknell University,Economics,Political Science,Psychology,Accounting,Biology
Cal Poly San Luis Obispo,Business Management,Mechanical Engineering,Biology,Civil Engineering,Computer Science 
California Institute of Technology (CIT),Computer Science,Physics ,Electrical Engineering,Chemical Engineering,Mechanical Engineering 
"California State University (CSU), Chico",Business Management,Communications,Psychology,Health Care Administration,Education
"California State University (CSU), Stanislaus",Business Management,Psychology,Criminal Justice,Sociology,Education
"California State University, Dominguez Hills (CSUDH)",Business Management,Psychology,Sociology,Criminal Justice,Health Care Administration
"California State University, East Bay (CSUEB)",Business Management,Health Care Administration,Criminal Justice,Psychology,Sociology
"California State University, Fullerton (CSUF)",Business Management,Communications,Psychology,Health Care Administration,Education
"California State University, Long Beach (CSULB)",Business Management,Psychology,Communications,Sociology,Education
"California State University, Northridge (CSUN)",Psychology,Business Management,Sociology,Education,Film
"California State University, Sacramento (CSUS)",Business Management,Communications,Psychology,Criminal Justice,Education
Carleton College,Computer Science,Biology,International Relations,Economics,Math
Carnegie Mellon University (CMU),Computer Science,Electrical Engineering,Math,Business Management,Mechanical Engineering
Case Western Reserve University,Biology,Mechanical Engineering,Computer Science,Nursing,Psychology
Clemson University,Industrial Engineering,Business Management,Marketing,Biology,Psychology
Cleveland State University,Psychology,Nursing,Business Management,Biology,Mechanical Engineering 
Colby College,Economics,Political Science,Math,Biology,Psychology
Colgate University,Economics,Political Science,Psychology,English,Biology
College of the Holy Cross,Economics,Psychology,Political Science,History,English
Colorado College (CC),Economics,Political Science,Biology,Sociology,Physics
Colorado School of Mines,Mechanical Engineering,Computer Science ,Chemical Engineering,Physics ,Electrical Engineering
Colorado State University (CSU),Business Management,Nutrition,Psychology,Mechanical Engineering,Communications
Columbia University,Economics,Computer Science,Political Science,Psychology,History
Cooper Union,Graphic Design,Mechanical Engineering,Electrical Engineering,Chemical Engineering,Architecture
Cornell University,Biology,Computer Science,Business Management,Hospitality & Tourism,Agriculture
Dallas Baptist University,Business Management,Biology,Psychology,Education,Finance
Dartmouth College,Economics,Political Science,Computer Science,Biology,History
Davenport University,Nutrition,Business Management,Criminal Justice,Health Care Administration,Nursing
Davidson College,Political Science ,Economics,Biology,English,Psychology
DePaul University,Accounting,Finance,International Relations,Psychology,Marketing
DePauw University,Economics,Communications,English,Computer Science,Biology
Denison University,Economics,Communications,Biology,Psychology,History
Dowling College,Communications,Computer Science,Education,English,Math
